sba_borrower_name,sba_city,sba_zip,candidate_business_name,candidate_city,match_score,sba_loan_id,business_id
Troy Brehaut & Family Trucking,WINN,4495,HERB BREHAUT & SONS TRUCKING INC,"66 US-2, Winn, ME 04495, USA",70.97,66aa133d-b75d-5d91-a773-a550b56c0729,60ccdba9-44bb-43c7-8324-650edb0cafab
d/b/a Michael's Service Station LLC,CHARLTON,1507,MICHAEL'S SERVICE STATION,"190 Brookfield Rd, Charlton, MA 01507, USA",83.33,91f5ae6d-f809-5c10-96fe-82690f4bff70,ca1dd18b-0dd4-43b1-a223-699193319cdc
Hanley Construction LLC,Willington,6279,HIPSKY CONSTRUCTION LLC,"250 Moose Meadow Rd, Willington, CT 06279, USA",82.61,783b0d32-a4d1-5d31-9b5f-7c1523d73bb4,0faf7ed0-c74b-40cc-813a-8704bec7501b
GREENFIELD AUTO WRECKING,Greenfield,1301,GREENFIELD AUTO SALVAGE,"392 Deerfield St, Greenfield, MA 01301, USA",72.34,75d97d1a-295d-5179-871c-c584df587137,c43a9b98-6613-41bf-bf55-0c3f7a244896
Boston Motor Werks LLC,Belmont,2478,BELMONT MOTOR WORKS LLC,"176 Yale Rd North, Belmont, VT 05730, USA",80.0,36408b40-79f1-5f8f-b719-ddbb42c2faa0,0c9b23da-6d68-474b-992d-a146b81194dc
Ramtel Corporation,JOHNSTON,2919,JR VINAGRO CORPORATION,"2208 Plainfield Pike, Johnston, RI 02919, USA",70.0,b3fc17f5-f254-5d4d-932a-c1def198944c,a47c0395-fdee-429b-b0c6-016ab6eef281
Karalis Construction Inc,DEDHAM,2026,MAINE-LY CONSTRUCTION,"575 Bald Mountain Rd, Dedham, ME 04429, USA",71.11,b9e3a910-be5b-5a18-867a-0688fce3f00a,94e19a05-ee25-4f45-a92a-b067766ad940
J & J Auto Care LLC,NORTH HAVERHILL,3774,J&J AUTO CARE,"585 Benton Rd, North Haverhill, NH 03774, USA",75.0,a80c212a-352f-5203-92bc-23b3bba7c20e,7c8a1134-0caf-4c98-a70b-5e22c290bb6d
Ace Wellesley Hardware,WELLESLEY,2482,WELLESLEY MAZDA,"965 Worcester St, Wellesley, MA 02482, USA",70.27,035f7b48-2c96-5429-bd84-2048b59d7bfe,a163edd6-c611-4c7e-a156-9f9b47195f64
McNamara-Sparrell Funeral Homes,NORWELL,2061,MCNAMARA SPARRELL FUNERAL SERVICES,"30 Central St, Norwell, MA 02061, USA",73.85,2ea1d3e4-178f-56f9-ac6c-a286e56e3014,31c2298a-7678-47af-a1ad-30fee0662af9
McNamara-Sparrell Funeral Homes,NORWELL,2061,MCNAMARA SPARRELL FUNERAL SERVICES,"30 Central St, Norwell, MA 02061, USA",73.85,98390ac1-7605-5f38-a1ec-83e5952079a2,31c2298a-7678-47af-a1ad-30fee0662af9
Washington Village Store LLC,Washington,5675,WASHINGTON VILLAGE SCHOOL,"72 School Ln, Washington, VT 05675, USA",79.25,ef31b017-3c51-5ff2-9436-15b78cfcb42b,e40602a9-2b97-48b7-8d5a-c079e962cd07
Life Medi Spa PLLC,Meredith,3253,LIFE MEDI SPA,"3 Winona Rd #1B, Meredith, NH 03253, USA",83.87,af677e6f-42ae-5f2c-ac88-5b2059a908c5,5daa8df1-161e-4514-b6ee-5872d8e606ca
Jay El Enterprises,SALEM,1970,CARE FOX ENTERPRISE,"3904 County Rte 30, Salem, NY 12865, USA",70.27,e6900939-3962-5b86-9efb-dc4340e3dad2,87c5b5cb-0c14-40b2-9042-fea33aa6b978
Vaillancourt Transport LLC,Enosburg Falls,5450,VAILLANCOURT REPAIRS LLC,"2003 Tyler Branch Rd, Enosburg Falls, VT 05450, USA",80.0,745c5ea9-3128-5ea4-a11d-04e4cdbec68c,7af95cf4-8832-40de-857e-777c3a6b7089
W.H. Lesch Plumbing Heating & Gas,MILFORD,1757,GEARY'S PLUMBING & HEATING LLC,"19 Wood Creek Rd, New Milford, CT 06776, USA",79.37,54bb9b49-c46a-50c2-a9a8-5fa67690180e,6dc207bf-d6dd-4d5e-86b0-d70c4e385cb4
The Chatham Bag,CHATHAM,2633,CHATHAM AGWAY,"1806 2574, 2574 NY-66, Chatham, NY 12037, USA",71.43,d70df29f-e4b2-5c76-9502-8c612081dffa,783ceb46-a498-419a-918a-a97f7eb1936a
Village Tie Up Market Deli Ice Cream and Fun LLC,Harrison,4040,VILLAGE TIE UP MARKET & DELI,"29 Main St, Harrison, ME 04040, USA",71.05,5e2fbcd8-68ee-5ee7-a4d1-f71705774f3a,8eb3f0de-981b-49d7-8953-c66e2e1a89bd
COASTAL PHYSICAL THERAPY LLC,HARRINGTON,4643,COASTAL PHYSICAL THERAPY SERVICES,"1110 E Main St, Harrington, ME 04643, USA",78.69,c41c05e6-a991-5821-968d-1b0dc0c061dd,1f1a4be9-beb2-4c36-8f44-669418da4be2
Off The Beaten Trail LLC,WEST BURKE,5871,OFF THE BEATEN TRAIL CANINE FACILITY,"209 Marylyn Ln, West Burke, VT 05871, USA",73.33,2e3a3975-5667-5d76-9201-7075a0aa734a,44e3a90e-6af9-4372-94dd-b017c38b45ff
BRISTOL FAMILY DENTAL PC,Bristol,6010,BRISTOL FAMILY CENTER,"16 Orchard Terrace, Bristol, VT 05443, USA",80.0,5ca34963-fbf1-5e46-8177-6b4a9d530cfb,bdc1aa6a-b408-48c3-9f77-5927aaa4a74c
SOMERSWORTH HV INC,Somersworth,3878,SOMERSWORTH NISSAN,"285 NH-108, Somersworth, NH 03878, USA",77.78,9559da79-c166-5f05-88fc-43adb04ad08f,7da56a53-b533-4277-95c4-6b3be60b0c89
The Quimby Childcare Center Inc.,Norridgewock,4957,THE QUIMBY CHILD CARE CENTER,"29 Waterville Rd, Norridgewock, ME 04957, USA",76.67,08444c22-4114-5892-856f-101859193090,7c1f2d06-d12b-4943-a642-9dd476c79dd3
Alpine Lawn and Landscape LLC,BRISTOL,6010,BUTLER LAWN AND LANDSCAPE LLC,"1407 Hardscrabble Rd, Bristol, VT 05443, USA",75.86,5be7041e-baca-526d-b572-79aa2e6cc357,71614c7e-a2d6-4efe-abaa-ddf38516120a
Dino's Construction,DERRY,3038,MAVERICK CONSTRUCTION,"309 Sherwood Forest, Londonderry, VT 05148, USA",70.0,3af9f218-2abd-5f06-b747-4c1af6a17ed3,7359a7d6-859b-4080-9000-d14da4f020ba
WENTWORTH FAMILY GROCERY,NORTHPORT,4849,WENTWORTH FAMILY GROCERY (NORTHPORT),"655 Atlantic Hwy, Northport, ME 04849, USA",80.0,171d6df4-a70e-507d-b726-85d66e066011,375d8922-efd2-48de-898e-9d8196e06b30
Pace Motor Lines Inc & Subsidiary,STRATFORD,6615,PACE MOTOR LINES INC,"1425 Honeyspot Road Ext, Stratford, CT 06615, USA",75.47,45c77745-50e8-5652-8746-50544e3c1b9f,d4b14a1c-455c-417d-86b1-8dde9efba3b7
MGR Electrical Contracting Incorporated,Haverhill,1832,"PREMIER ELECTRICAL CONTRACTORS, LLC","71 Barber Rd, North Haverhill, NH 03744, USA",70.27,5a02812a-8e60-5887-ac9b-9b0969e83b99,55bbbe2c-501a-4843-ba39-a820b85169d7
BNRHampton LLC,HAMPTON,3842,HAMPTON HILL FARM,"924 Pomfret Rd, Hampton, CT 06247, USA",70.97,61964729-a257-54de-9cd3-acd67b80c80e,5b781b5b-eeb1-41ea-b0ea-499321d073f8
EPC Corporation,Middleborough,2346,FEENEY CORPORATION,"426 Wareham St, Middleborough, MA 02346, USA",78.79,81052238-1f50-5ca8-8388-903835e17fbc,73cf19e4-b441-40d6-9ddd-d54768ce4594
POFF CONSTRUCTION LLC,MILTON,2186,CONSTRUCTION DCF INC,"311 5em rang de milton, Roxton Pond, QC J0E 1Z0, Canada",73.17,85dae893-d3f2-53d9-84c1-91d3ca7bb086,c0a2e974-9d8b-4e92-81fc-59e696c255b8
The Builders,ORLAND,4472,ORCUTT BUILDERS,"1172 Bald Mountain Rd, Orland, ME 04472, USA",74.07,38a095b8-f2e7-5a8b-b9ed-d15fffb0ed94,701a84ad-7f26-4f11-b29f-7184034aa8e3
